,dataset_index,machine,shot
426,4649,d3d,167307
427,8716,east,56693
428,16297,east,74988
429,1919,d3d,160464
430,6521,d3d,174106
431,3374,d3d,164194
432,4058,d3d,165921
433,2870,d3d,162914
434,10796,east,63954
435,7481,d3d,176216
436,17304,east,77713
437,9509,east,61432
438,12252,east,67087
439,3431,d3d,164307
440,19337,cmod,1120829005
441,11808,east,66309
442,5283,d3d,169934
443,16210,east,74888
444,8555,east,56393
445,12292,east,67139
446,5469,d3d,170321
447,9439,east,61215
448,9533,east,61496
449,4292,d3d,166447
450,2397,d3d,161357
451,8432,east,56137
452,13674,east,70138
453,18020,east,79774
454,10241,east,62861
455,2548,d3d,161583
456,7613,d3d,176517
457,15873,east,74381
458,5269,d3d,169909
459,18899,east,81260
460,8688,east,56643
461,7836,east,55049
462,1781,d3d,160216
463,4997,d3d,168974
464,13436,east,69685
465,3035,d3d,163164
466,19012,east,81397
467,11999,east,66593
468,18740,east,81011
469,4371,d3d,166573
470,2515,d3d,161527
471,17135,east,77438
472,13252,east,69312
473,3900,d3d,165447
474,4101,d3d,166029
475,19982,cmod,1140731027
476,17133,east,77436
477,14080,east,70854
478,17109,east,77401
479,3983,d3d,165689
480,14094,east,70893
481,1402,d3d,159318
482,7801,d3d,177053
483,20518,cmod,1150717011
484,11327,east,64774
485,17348,east,78453
486,15011,east,72910
487,11880,east,66433
488,6637,d3d,174295
489,19131,east,81586
490,5008,d3d,168993
491,309,d3d,156946
492,2408,d3d,161382
493,873,d3d,158207
494,9969,east,62502
495,11240,east,64631
496,3949,d3d,165507
497,13657,east,70099
498,22417,cmod,1160920011
499,11109,east,64455
500,15408,east,73571
501,2705,d3d,162408
502,9294,east,59969
503,14620,east,71677
504,6855,d3d,174870
505,19419,cmod,1140221002
506,14285,east,71145
507,13928,east,70550
508,11376,east,64866
509,7357,d3d,175939
510,3824,d3d,165285
511,10572,east,63602
512,15720,east,74040
513,3412,d3d,164268
514,18500,east,80576
515,8420,east,56103
516,11787,east,66195
517,12204,east,67019
518,6595,d3d,174236
519,7338,d3d,175912
520,18100,east,79884
521,11454,east,64967
522,5912,d3d,171598
523,9792,east,62271
524,21244,cmod,1160414033
525,19502,cmod,1140327009
526,16037,east,74628
527,15195,east,73206
528,6843,d3d,174858
529,13307,east,69473
530,21659,cmod,1160617005
531,20729,cmod,1150811009
532,17473,east,78645
533,4787,d3d,167485
534,12095,east,66722
535,3524,d3d,164573
536,20211,cmod,1150514018
537,374,d3d,157119
538,4268,d3d,166414
539,11453,east,64965
540,12003,east,66597
541,1145,d3d,158787
542,311,d3d,156948
543,10506,east,63511
544,3870,d3d,165403
545,15846,east,74339
546,382,d3d,157127
547,16621,east,75465
548,7219,d3d,175652
549,2486,d3d,161496
550,12358,east,67231
551,20007,cmod,1140801017
552,5445,d3d,170284
553,1896,d3d,160421
554,4878,d3d,167619
555,6988,d3d,175169
556,17063,east,77284
557,18539,east,80651
558,19250,cmod,1120501021
559,11480,east,64995
560,22531,cmod,1160930005
561,20915,cmod,1150903010
562,18431,east,80486
563,5387,d3d,170166
564,9563,east,61574
565,9358,east,60159
566,4216,d3d,166309
567,2571,d3d,161610
568,9212,east,59493
569,19492,cmod,1140228007
570,1063,d3d,158654
571,8334,east,55978
572,7995,east,55434
573,12546,east,67528
574,6295,d3d,173373
575,8830,east,56862
576,15321,east,73405
577,15242,east,73263
578,16674,east,75538
579,17338,east,77752
580,9679,east,62092
581,5439,d3d,170278
582,14835,east,72636
583,10052,east,62613
584,8441,east,56162
585,8345,east,55990
586,3273,d3d,163800
587,7229,d3d,175684
588,11974,east,66554
589,19301,cmod,1120724009
590,13150,east,69128
591,5816,d3d,171289
592,13820,east,70400
593,22325,cmod,1160908019
594,11283,east,64701
595,3440,d3d,164323
596,6666,d3d,174501
597,21554,cmod,1160526016
598,482,d3d,157379
599,5780,d3d,171206
600,21178,cmod,1160406019
601,16669,east,75533
602,1177,d3d,158886
603,17547,east,78761
604,9716,east,62177
605,1288,d3d,159112
606,10900,east,64142
607,15878,east,74404
608,14268,east,71126
609,6315,d3d,173414
610,4075,d3d,165948
611,14245,east,71088
612,8312,east,55932
613,14810,east,72604
614,15015,east,72917
615,18489,east,80563
616,8909,east,56991
617,14129,east,70934
618,4019,d3d,165774
619,22189,cmod,1160823002
620,17659,east,78975
621,14949,east,72830
622,16532,east,75310
623,7031,d3d,175244
624,16531,east,75309
625,11900,east,66464
626,7928,east,55302
627,4898,d3d,168627
628,12959,east,68768
629,6465,d3d,173955
630,11167,east,64538
631,4802,d3d,167505
632,12744,east,67808
633,149,d3d,156698
634,17666,east,79002
635,17246,east,77634
636,1509,d3d,159533
637,4115,d3d,166046
638,9363,east,60171
639,19511,cmod,1140328012
640,17197,east,77569
641,483,d3d,157380
642,20897,cmod,1150902019
643,6596,d3d,174237
644,2972,d3d,163048
645,4362,d3d,166562
646,109,d3d,156625
647,14157,east,70973
648,8379,east,56035
649,1423,d3d,159364
650,9018,east,57277
651,9971,east,62504
652,19297,cmod,1120718012
653,3450,d3d,164348
654,3132,d3d,163428
655,19817,cmod,1140711012
656,17484,east,78673
657,6733,d3d,174631
658,8918,east,57010
659,6634,d3d,174290
660,8162,east,55672
661,2617,d3d,162176
662,14739,east,72316
663,1049,d3d,158616
664,6026,d3d,172013
665,11060,east,64395
666,9031,east,57304
667,3124,d3d,163330
668,10472,east,63473
669,21849,cmod,1160707010
670,2709,d3d,162412
671,15152,east,73129
672,17057,east,77277
673,659,d3d,157793
674,10405,east,63361
675,6139,d3d,172476
676,9750,east,62213
677,12425,east,67338
678,2943,d3d,163006
679,3913,d3d,165464
680,2386,d3d,161336
681,11451,east,64963
682,8410,east,56086
683,5585,d3d,170596
684,19662,cmod,1140523024
685,6053,d3d,172194
686,22096,cmod,1160810002
687,20001,cmod,1140801010
688,4536,d3d,166933
689,21714,cmod,1160621020
690,19634,cmod,1140522001
691,20435,cmod,1150708012
692,8465,east,56217
693,16786,east,76579
694,20753,cmod,1150812027
695,1316,d3d,159170
696,14132,east,70937
697,8417,east,56099
698,11562,east,65135
699,1392,d3d,159308
700,5456,d3d,170298
701,2215,d3d,161050
702,21855,cmod,1160708001
703,20610,cmod,1150724030
704,16629,east,75480
705,13837,east,70423
706,8734,east,56720
707,1778,d3d,160213
708,11694,east,65936
709,14466,east,71455
710,15661,east,73950
711,9928,east,62459
712,22179,cmod,1160818019
713,8771,east,56773
714,556,d3d,157530
715,8511,east,56310
716,5949,d3d,171657
717,15058,east,73011
718,12111,east,66744
719,13338,east,69551
720,1790,d3d,160225
721,12346,east,67217
722,7175,d3d,175564
723,16335,east,75039
724,5704,d3d,170857
725,17217,east,77594
726,8868,east,56922
727,1633,d3d,159810
728,11651,east,65843
729,158,d3d,156707
730,22452,cmod,1160922008
731,5261,d3d,169900
732,7301,d3d,175853
733,8794,east,56799
734,14082,east,70861
735,17731,east,79200
736,15140,east,73107
737,1442,d3d,159388
738,923,d3d,158379
739,8959,east,57086
740,10344,east,63234
741,6798,d3d,174751
742,861,d3d,158195
743,13083,east,69008
744,13414,east,69663
745,9067,east,57367
746,17082,east,77314
747,9422,east,61138
748,6074,d3d,172303
749,9559,east,61545
750,17250,east,77638
751,12192,east,67007
752,8198,east,55720
753,8422,east,56118
754,13483,east,69756
755,7985,east,55372
756,1406,d3d,159331
757,16331,east,75035
758,20710,cmod,1150807015
759,18016,east,79770
760,6828,d3d,174832
761,7003,d3d,175197
762,342,d3d,157070
763,1164,d3d,158826
764,19305,cmod,1120727006
765,21066,cmod,1150928017
766,14595,east,71640
767,4586,d3d,167231
768,17760,east,79245
769,3303,d3d,164048
770,9644,east,61892
771,770,d3d,158038
772,16630,east,75482
773,6036,d3d,172103
774,5133,d3d,169466
775,12962,east,68771
776,10918,east,64166
777,19866,cmod,1140715026
778,21365,cmod,1160427002
779,17562,east,78779
780,3075,d3d,163230
781,1445,d3d,159391
782,3502,d3d,164483
783,15751,east,74088
784,21485,cmod,1160512015
785,19963,cmod,1140731003
786,13738,east,70222
787,17035,east,77235
788,21732,cmod,1160628011
789,20496,cmod,1150715017
790,12925,east,68732
791,16482,east,75250
792,5224,d3d,169645
793,18577,east,80721
794,18671,east,80880
795,20098,cmod,1140819005
796,17928,east,79603
797,14296,east,71172
798,17273,east,77665
799,8110,east,55600
800,634,d3d,157736
801,538,d3d,157501
802,10873,east,64111
803,15689,east,73979
804,12295,east,67142
805,18817,east,81132
806,358,d3d,157097
807,7062,d3d,175289
808,14323,east,71202
809,18436,east,80492
810,7400,d3d,176007
811,12027,east,66621
812,15209,east,73222
813,11852,east,66398
814,20541,cmod,1150721009
815,6501,d3d,174074
816,22539,cmod,1160930015
817,14031,east,70771
818,22411,cmod,1160920003
819,12309,east,67162
820,17520,east,78727
821,18672,east,80890
822,16666,east,75530
823,11358,east,64828
824,10054,east,62615
825,19287,cmod,1120711016
826,19230,cmod,1120215018
827,9015,east,57237
828,3436,d3d,164316
829,22410,cmod,1160919009
830,16984,east,77134
831,21183,cmod,1160412004
832,12485,east,67439
833,4509,d3d,166889
834,19319,cmod,1120807003
835,1474,d3d,159435
836,15856,east,74353
837,4480,d3d,166844
838,16909,east,76942
839,9752,east,62215
840,5350,d3d,170080
841,8249,east,55812
842,21198,cmod,1160413013
843,19530,cmod,1140408031
844,1884,d3d,160409
845,14950,east,72832
846,10411,east,63386
847,12516,east,67480
848,22542,cmod,1160930020
849,947,d3d,158415
850,17576,east,78813
851,19294,cmod,1120713028
852,12473,east,67423
853,9555,east,61541
854,1377,d3d,159293
855,20397,cmod,1150624006
856,17718,east,79187
857,22292,cmod,1160831017
858,3130,d3d,163336
859,15741,east,74062
860,22386,cmod,1160915009
861,1552,d3d,159611
862,20317,cmod,1150616011
863,18865,east,81215
864,13070,east,68992
865,20154,cmod,1150508003
866,12088,east,66715
867,10576,east,63609
868,19452,cmod,1140225014
869,18938,east,81305
870,871,d3d,158205
871,16365,east,75088
872,5647,d3d,170773
873,1163,d3d,158825
874,19008,east,81392
875,10804,east,63964
876,6912,d3d,174969
877,20386,cmod,1150623021
878,19445,cmod,1140225002
879,14643,east,71705
880,11435,east,64944
881,19836,cmod,1140714016
882,4837,d3d,167559
883,13857,east,70456
884,22449,cmod,1160922005
885,11676,east,65899
886,17369,east,78477
887,2631,d3d,162219
888,21079,cmod,1150928030
889,15469,east,73662
890,235,d3d,156843
891,218,d3d,156814
892,3174,d3d,163479
893,18096,east,79878
894,567,d3d,157551
895,4119,d3d,166055
896,12983,east,68832
897,6585,d3d,174212
898,9215,east,59496
899,7341,d3d,175921
900,6941,d3d,175018
901,5907,d3d,171593
902,7735,d3d,176891
903,5200,d3d,169606
904,14510,east,71515
905,10400,east,63348
906,1299,d3d,159123
907,70,d3d,156517
908,11324,east,64769
909,12523,east,67492
910,22343,cmod,1160909025
911,17554,east,78768
912,1928,d3d,160476
913,14748,east,72336
914,8693,east,56650
915,13643,east,70083
916,6042,d3d,172181
917,4177,d3d,166142
918,5413,d3d,170243
919,5095,d3d,169369
920,12141,east,66885
921,14425,east,71399
922,4657,d3d,167317
923,17339,east,77753
924,863,d3d,158197
925,8921,east,57016
926,20028,cmod,1140806007
927,21123,cmod,1151001013
928,15182,east,73170
929,4743,d3d,167430
930,2463,d3d,161467
931,16374,east,75099
932,2610,d3d,162169
933,11338,east,64802
934,3773,d3d,165102
935,953,d3d,158423
936,19818,cmod,1140711013
937,19807,cmod,1140702027
938,7149,d3d,175525
939,3487,d3d,164454
940,9766,east,62243
941,795,d3d,158111
942,17644,east,78929
943,5996,d3d,171965
944,4038,d3d,165873
945,5010,d3d,169026
946,19292,cmod,1120713023
947,2115,d3d,160857
948,2212,d3d,161047
949,3399,d3d,164248
950,18281,east,80238
951,8024,east,55469
952,11951,east,66527
953,18867,east,81217
954,10209,east,62813
955,21999,cmod,1160729005
956,9548,east,61527
957,10461,east,63446
958,12482,east,67435
959,18843,east,81176
960,5085,d3d,169347
961,17264,east,77656
962,5599,d3d,170610
963,19385,cmod,1120926029
964,2555,d3d,161592
965,16179,east,74852
966,2282,d3d,161154
967,16857,east,76860
968,16207,east,74885
969,8070,east,55545
970,4513,d3d,166900
971,4397,d3d,166618
972,6277,d3d,173293
973,681,d3d,157898
974,5424,d3d,170258
975,1704,d3d,160075
976,16051,east,74651
977,19213,cmod,1120203005
978,20383,cmod,1150623018
979,19420,cmod,1140221003
980,6208,d3d,173069
981,17650,east,78943
982,12193,east,67008
983,17128,east,77430
984,10271,east,62909
985,9143,east,57478
986,20123,cmod,1140821025
987,9234,east,59618
988,862,d3d,158196
989,10480,east,63481
990,19497,cmod,1140228021
991,14021,east,70701
992,15950,east,74511
993,18007,east,79739
994,8574,east,56428
995,3607,d3d,164780
996,3298,d3d,164043
997,183,d3d,156752
998,19241,cmod,1120222013
999,9882,east,62389
1000,3095,d3d,163293
1001,5649,d3d,170776
1002,2657,d3d,162261
1003,7230,d3d,175685
1004,21378,cmod,1160503006
1005,2138,d3d,160911
1006,21197,cmod,1160413012
1007,22395,cmod,1160915019
1008,20148,cmod,1140826025
1009,5470,d3d,170322
1010,6503,d3d,174080
1011,1569,d3d,159649
1012,22107,cmod,1160810014
1013,21056,cmod,1150928007
1014,21595,cmod,1160608013
1015,16487,east,75256
1016,20644,cmod,1150730013
1017,6768,d3d,174698
1018,11963,east,66541
1019,16163,east,74836
1020,10173,east,62772
1021,7085,d3d,175354
1022,3117,d3d,163321
1023,9038,east,57318
1024,17794,east,79298
1025,8438,east,56148
1026,5405,d3d,170235
1027,3944,d3d,165501
1028,6530,d3d,174125
1029,6775,d3d,174705
1030,1701,d3d,160072
1031,11847,east,66393
1032,12566,east,67553
1033,10101,east,62679
1034,908,d3d,158344
1035,16894,east,76923
1036,16707,east,75592
1037,10035,east,62587
1038,18734,east,80987
1039,1918,d3d,160463
1040,1291,d3d,159115
1041,20416,cmod,1150625031
1042,17742,east,79214
1043,19322,cmod,1120824009
1044,4643,d3d,167300
1045,8194,east,55713
1046,2285,d3d,161157
1047,20195,cmod,1150513018
1048,15475,east,73673
1049,8757,east,56750
1050,4106,d3d,166035
1051,6293,d3d,173371
1052,12849,east,67964
1053,15567,east,73812
1054,14411,east,71378
1055,7378,d3d,175971
1056,10090,east,62655
1057,10102,east,62680
1058,14759,east,72355
1059,6967,d3d,175056
1060,22126,cmod,1160811020
1061,3761,d3d,165089
1062,6944,d3d,175021
1063,1043,d3d,158609
1064,15677,east,73967
1065,7824,east,55035
1066,6992,d3d,175177
1067,20374,cmod,1150623006
1068,19979,cmod,1140731024
1069,7599,d3d,176497
1070,6142,d3d,172481
1071,378,d3d,157123
1072,12471,east,67421
1073,22229,cmod,1160825026
1074,19367,cmod,1120907017
1075,14585,east,71605
1076,10368,east,63294
1077,17004,east,77177
1078,17671,east,79029
1079,19173,east,81668
1080,12676,east,67698
1081,12278,east,67125
1082,9470,east,61320
1083,13639,east,70072
1084,10636,east,63709
1085,1381,d3d,159297
1086,3228,d3d,163657
1087,8535,east,56353
1088,16660,east,75523
1089,4166,d3d,166126
1090,20355,cmod,1150618013
1091,7463,d3d,176186
1092,21210,cmod,1160413031
1093,557,d3d,157534
1094,11438,east,64950
1095,18835,east,81158
1096,3684,d3d,164960
1097,4992,d3d,168958
1098,745,d3d,158002
1099,11522,east,65060
1100,10422,east,63404
1101,989,d3d,158490
1102,7439,d3d,176055
1103,13168,east,69161
1104,10165,east,62764
1105,14758,east,72351
1106,963,d3d,158434
1107,19169,east,81664
1108,12704,east,67748
1109,1745,d3d,160154
1110,8549,east,56368
1111,21582,cmod,1160607012
1112,3536,d3d,164598
1113,817,d3d,158145
1114,14155,east,70971
1115,7373,d3d,175965
1116,15205,east,73218
1117,9596,east,61670
1118,7355,d3d,175937
1119,8389,east,56046
1120,21581,cmod,1160607007
1121,3852,d3d,165334
1122,8720,east,56697
1123,9007,east,57215
1124,15078,east,73031
1125,5314,d3d,170018
1126,666,d3d,157816
1127,11822,east,66323
1128,16034,east,74624
1129,7398,d3d,176004
1130,223,d3d,156820
1131,16520,east,75290
1132,6290,d3d,173323
1133,15442,east,73633
1134,5180,d3d,169572
1135,5447,d3d,170286
1136,14974,east,72857
1137,16924,east,76963
1138,17297,east,77704
1139,17416,east,78561
1140,18427,east,80477
1141,4465,d3d,166813
1142,11516,east,65052
1143,19284,cmod,1120705027
1144,21003,cmod,1150922013
1145,11100,east,64439
1146,6589,d3d,174218
1147,20078,cmod,1140815004
1148,683,d3d,157900
1149,21578,cmod,1160527018
1150,16917,east,76955
1151,19903,cmod,1140723023
1152,18641,east,80805
1153,6837,d3d,174851
1154,1143,d3d,158783
1155,19206,cmod,1120118027
1156,12461,east,67410
1157,16172,east,74845
1158,508,d3d,157420
1159,8530,east,56345
1160,16780,east,76558
1161,18215,east,80118
1162,5267,d3d,169907
1163,22047,cmod,1160804028
1164,11815,east,66316
1165,335,d3d,157063
1166,609,d3d,157703
1167,5030,d3d,169103
1168,21337,cmod,1160426005
1169,19803,cmod,1140702019
1170,9284,east,59947
1171,13369,east,69607
1172,2524,d3d,161541
1173,21392,cmod,1160503023
1174,2795,d3d,162752
1175,17070,east,77292
1176,14042,east,70804
1177,14442,east,71428
1178,19959,cmod,1140730030
1179,8984,east,57153
1180,18603,east,80749
1181,7308,d3d,175864
1182,16590,east,75399
1183,12622,east,67628
1184,9501,east,61421
1185,12621,east,67627
1186,1852,d3d,160333
1187,17686,east,79058
1188,22523,cmod,1160929007
1189,2111,d3d,160850
1190,19032,east,81418
1191,9659,east,61961
1192,2035,d3d,160689
1193,17341,east,77758
1194,6765,d3d,174695
1195,14890,east,72744
1196,10020,east,62572
1197,3874,d3d,165408
1198,18419,east,80462
1199,16462,east,75224
1200,6835,d3d,174849
1201,9388,east,60223
1202,17306,east,77715
1203,2393,d3d,161352
1204,11041,east,64373
1205,13424,east,69673
1206,14293,east,71156
1207,1232,d3d,158958
1208,5803,d3d,171261
1209,3583,d3d,164674
1210,12681,east,67708
1211,2067,d3d,160787
1212,12156,east,66941
1213,11508,east,65043
1214,5853,d3d,171445
1215,10108,east,62688
1216,17947,east,79643
1217,18592,east,80737
1218,10258,east,62881
1219,7773,d3d,176964
1220,10879,east,64117
1221,3740,d3d,165053
1222,2928,d3d,162990
1223,2927,d3d,162989
