,dataset_index,machine,shot
389,5331,d3d,170051
390,10697,east,63795
391,11505,east,65039
392,8303,east,55922
393,17751,east,79223
394,16893,east,76921
395,13363,east,69598
396,12501,east,67465
397,18593,east,80738
398,6377,d3d,173744
399,18204,east,80104
400,145,d3d,156687
401,17367,east,78475
402,16630,east,75482
403,179,d3d,156745
404,8417,east,56099
405,11814,east,66315
406,2016,d3d,160660
407,14305,east,71181
408,10068,east,62632
409,15272,east,73311
410,517,d3d,157432
411,16339,east,75043
412,17458,east,78624
413,1516,d3d,159541
414,5452,d3d,170294
415,13672,east,70133
416,4803,d3d,167506
417,1950,d3d,160509
418,16946,east,77006
419,3052,d3d,163181
420,14132,east,70937
421,7951,east,55328
422,9830,east,62326
423,9465,east,61309
424,8415,east,56094
425,15607,east,73870
426,1912,d3d,160455
427,8155,east,55665
428,14328,east,71208
429,16060,east,74661
430,10811,east,63976
431,18708,east,80954
432,11227,east,64614
433,12432,east,67373
434,10192,east,62794
435,19129,east,81584
436,3924,d3d,165477
437,10039,east,62591
438,430,d3d,157238
439,1314,d3d,159161
440,1236,d3d,158962
441,6065,d3d,172218
442,1193,d3d,158912
443,8550,east,56375
444,5675,d3d,170812
445,5283,d3d,169934
446,1991,d3d,160579
447,8274,east,55854
448,13459,east,69711
449,12648,east,67663
450,11951,east,66527
451,11647,east,65837
452,6109,d3d,172420
453,3794,d3d,165168
454,12374,east,67251
455,9654,east,61947
456,5811,d3d,171278
457,9887,east,62394
458,9165,east,57504
459,14395,east,71324
460,3670,d3d,164898
461,10695,east,63793
462,18160,east,79981
463,6361,d3d,173694
464,16409,east,75140
465,18140,east,79959
466,13685,east,70150
467,15712,east,74030
468,16185,east,74858
469,13828,east,70410
470,15868,east,74376
471,3756,d3d,165079
472,9574,east,61614
473,3831,d3d,165297
474,6639,d3d,174301
475,3959,d3d,165537
476,1693,d3d,160062
477,3579,d3d,164666
478,14595,east,71640
479,8499,east,56296
480,18006,east,79738
481,13719,east,70187
482,6742,d3d,174651
483,18192,east,80090
484,15745,east,74066
485,8378,east,56034
486,11103,east,64444
487,13576,east,69977
488,16102,east,74718
489,17247,east,77635
490,16784,east,76570
491,8744,east,56732
492,722,d3d,157962
493,2864,d3d,162906
494,6980,d3d,175161
495,8012,east,55452
496,12704,east,67748
497,18176,east,80050
498,9953,east,62485
499,1968,d3d,160546
500,12521,east,67487
501,16432,east,75164
502,11013,east,64331
503,7515,d3d,176281
504,3982,d3d,165685
505,11654,east,65850
506,5649,d3d,170776
507,3370,d3d,164190
508,4901,d3d,168647
509,7022,d3d,175230
510,11463,east,64977
511,17564,east,78781
512,16840,east,76839
513,12676,east,67698
514,3550,d3d,164613
515,11233,east,64623
516,4515,d3d,166902
517,13120,east,69083
518,16854,east,76856
519,3064,d3d,163215
520,13951,east,70588
521,3678,d3d,164912
522,18062,east,79827
523,14085,east,70872
524,18522,east,80605
525,13829,east,70411
526,18850,east,81191
527,12527,east,67497
528,11863,east,66409
529,16651,east,75513
530,1684,d3d,160043
531,11563,east,65136
532,11284,east,64702
533,15223,east,73237
534,15510,east,73727
535,16036,east,74626
536,3508,d3d,164548
537,11497,east,65020
538,7726,d3d,176882
539,1739,d3d,160138
540,4156,d3d,166111
541,10797,east,63955
542,17649,east,78940
543,1149,d3d,158793
544,5968,d3d,171929
545,16535,east,75313
546,4538,d3d,166937
547,9730,east,62193
548,10957,east,64254
549,2418,d3d,161393
550,4869,d3d,167607
551,5510,d3d,170393
552,7377,d3d,175969
553,13921,east,70538
554,7558,d3d,176371
555,12942,east,68751
556,8920,east,57015
557,16179,east,74852
558,16843,east,76842
559,13149,east,69127
560,3128,d3d,163334
561,18898,east,81259
562,14386,east,71310
563,15065,east,73018
564,12705,east,67749
565,8598,east,56478
566,6076,d3d,172309
567,16828,east,76769
568,18670,east,80879
569,18554,east,80680
570,8975,east,57130
571,11462,east,64975
572,4365,d3d,166566
573,10072,east,62636
574,12034,east,66630
575,1238,d3d,158964
576,13715,east,70183
577,14093,east,70892
578,7177,d3d,175571
579,1874,d3d,160397
580,8129,east,55629
581,16145,east,74778
582,2246,d3d,161104
583,6022,d3d,172000
584,16131,east,74761
585,1219,d3d,158939
586,11527,east,65068
587,13857,east,70456
588,17302,east,77711
589,361,d3d,157100
590,993,d3d,158495
591,14403,east,71359
592,9009,east,57220
593,1136,d3d,158776
594,12474,east,67424
595,1829,d3d,160294
596,12409,east,67318
597,16133,east,74765
598,11166,east,64537
599,16973,east,77104
600,294,d3d,156914
601,4258,d3d,166395
602,5580,d3d,170590
603,11553,east,65113
604,6537,d3d,174133
605,6717,d3d,174610
606,16273,east,74963
607,7374,d3d,175966
608,8533,east,56349
609,15470,east,73663
610,15789,east,74137
611,16499,east,75268
612,19087,east,81498
613,15060,east,73013
614,13492,east,69796
615,15655,east,73931
616,18854,east,81198
617,2361,d3d,161275
618,8047,east,55500
619,8329,east,55955
620,8022,east,55463
621,5642,d3d,170768
622,13086,east,69011
623,18143,east,79962
624,9763,east,62239
625,16540,east,75319
626,8813,east,56829
627,8659,east,56594
628,17919,east,79582
629,2501,d3d,161512
630,17074,east,77298
631,17140,east,77444
632,15371,east,73503
633,18698,east,80933
634,15097,east,73059
635,17717,east,79186
636,3457,d3d,164359
637,668,d3d,157819
638,13315,east,69489
639,885,d3d,158303
640,3219,d3d,163609
641,12139,east,66883
642,9305,east,59986
643,17551,east,78765
644,3542,d3d,164604
645,10985,east,64299
646,15975,east,74536
647,6482,d3d,173991
648,1564,d3d,159644
649,18327,east,80308
650,12001,east,66595
651,11722,east,66002
652,2373,d3d,161300
653,990,d3d,158491
654,13346,east,69560
655,15533,east,73759
656,18104,east,79888
657,7461,d3d,176184
658,12189,east,67003
659,15495,east,73695
660,5149,d3d,169498
661,2264,d3d,161129
662,11586,east,65586
663,12988,east,68837
664,4099,d3d,166027
665,2123,d3d,160879
666,18304,east,80267
667,180,d3d,156746
668,2787,d3d,162744
669,4431,d3d,166720
670,10030,east,62582
671,16188,east,74864
672,15816,east,74186
673,4633,d3d,167286
674,7599,d3d,176497
675,7491,d3d,176237
676,13076,east,69000
677,17869,east,79500
678,237,d3d,156845
679,6425,d3d,173857
680,3481,d3d,164443
681,9097,east,57408
682,9452,east,61289
683,18467,east,80532
684,2739,d3d,162529
685,8778,east,56782
686,17429,east,78578
687,8817,east,56836
688,4017,d3d,165772
689,10097,east,62674
690,3801,d3d,165179
691,3415,d3d,164271
692,1145,d3d,158787
693,5725,d3d,170887
694,631,d3d,157733
695,13503,east,69819
696,2472,d3d,161476
697,13133,east,69100
698,18961,east,81331
699,8651,east,56585
700,7082,d3d,175351
701,18779,east,81070
702,2672,d3d,162299
703,15589,east,73836
704,10626,east,63693
705,4129,d3d,166073
706,7584,d3d,176474
707,2576,d3d,161615
708,379,d3d,157124
709,3845,d3d,165317
710,7200,d3d,175623
711,2395,d3d,161354
712,15261,east,73300
713,12407,east,67316
714,13850,east,70449
715,14235,east,71076
716,375,d3d,157120
717,18209,east,80112
718,6258,d3d,173245
719,6215,d3d,173078
720,4227,d3d,166323
721,14375,east,71289
722,3400,d3d,164249
723,7879,east,55231
724,5063,d3d,169303
725,4757,d3d,167447
726,15580,east,73825
727,1599,d3d,159724
728,7330,d3d,175903
729,17774,east,79264
730,12982,east,68831
731,9464,east,61308
732,6424,d3d,173855
733,12202,east,67017
734,5328,d3d,170048
735,16755,east,75650
736,4315,d3d,166482
737,1758,d3d,160179
738,5179,d3d,169570
739,12,d3d,156362
740,11378,east,64868
741,2528,d3d,161550
742,11605,east,65619
743,17169,east,77509
744,5038,d3d,169115
745,6008,d3d,171979
746,13450,east,69702
747,8951,east,57073
748,7830,east,55041
749,7631,d3d,176551
750,2807,d3d,162769
751,15514,east,73731
752,17653,east,78946
753,11849,east,66395
754,2770,d3d,162718
755,14527,east,71538
756,11781,east,66172
757,5823,d3d,171301
758,7108,d3d,175446
759,5499,d3d,170370
760,4983,d3d,168933
761,66,d3d,156512
762,4770,d3d,167461
763,2069,d3d,160789
764,13527,east,69923
765,5668,d3d,170804
766,10075,east,62639
767,14946,east,72826
768,15897,east,74430
769,17400,east,78520
770,8023,east,55464
771,6429,d3d,173861
772,14840,east,72649
773,3980,d3d,165680
774,4645,d3d,167302
775,16113,east,74729
776,3562,d3d,164647
777,3821,d3d,165262
778,3766,d3d,165094
779,14728,east,72271
780,15069,east,73022
781,3908,d3d,165455
782,6731,d3d,174629
783,10101,east,62679
784,13425,east,69674
785,15257,east,73290
786,11928,east,66495
787,1252,d3d,158979
788,9600,east,61690
789,16468,east,75230
790,14163,east,70979
791,14480,east,71469
792,6019,d3d,171997
793,17351,east,78457
794,15981,east,74542
795,1300,d3d,159124
796,7278,d3d,175816
797,13488,east,69777
798,15859,east,74357
799,6599,d3d,174241
800,19138,east,81604
801,12855,east,67970
802,5158,d3d,169510
803,17761,east,79247
804,13490,east,69793
805,16727,east,75614
806,12890,east,68505
807,9444,east,61279
808,12251,east,67086
809,10826,east,64003
810,8096,east,55582
811,12742,east,67806
812,11702,east,65954
813,12033,east,66629
814,4870,d3d,167608
815,18583,east,80727
816,15612,east,73875
817,5653,d3d,170780
818,2813,d3d,162780
819,13650,east,70090
820,1762,d3d,160191
821,8635,east,56568
822,18166,east,80033
823,16132,east,74762
824,10200,east,62803
825,7708,d3d,176816
826,6373,d3d,173736
827,56,d3d,156502
828,8255,east,55830
829,16352,east,75058
830,15874,east,74391
831,5234,d3d,169851
832,2628,d3d,162215
833,513,d3d,157426
834,17199,east,77571
835,5996,d3d,171965
836,17873,east,79505
837,16813,east,76705
838,10574,east,63607
839,18890,east,81251
840,19124,east,81570
841,8601,east,56496
842,18560,east,80690
843,10806,east,63971
844,17157,east,77477
845,10041,east,62593
846,14039,east,70785
847,8505,east,56303
848,19038,east,81432
849,3506,d3d,164504
850,18314,east,80277
851,19027,east,81412
852,14469,east,71458
853,13248,east,69307
854,14183,east,71004
855,17366,east,78474
856,12228,east,67058
857,14756,east,72348
858,18962,east,81332
859,12027,east,66621
860,15214,east,73227
861,6157,d3d,172503
862,10581,east,63618
863,17371,east,78480
864,16458,east,75218
865,4661,d3d,167321
866,5703,d3d,170856
867,3028,d3d,163155
868,3411,d3d,164267
869,6508,d3d,174089
870,14082,east,70861
871,11671,east,65878
872,2858,d3d,162894
873,14472,east,71461
874,10940,east,64233
875,15419,east,73584
876,7612,d3d,176515
877,17112,east,77405
878,7135,d3d,175503
879,6098,d3d,172401
880,9432,east,61204
881,5795,d3d,171248
882,17996,east,79726
883,12750,east,67815
884,18011,east,79743
885,8947,east,57055
886,2773,d3d,162723
887,1706,d3d,160078
888,3932,d3d,165489
889,13959,east,70597
890,1611,d3d,159740
891,14577,east,71596
892,1433,d3d,159378
893,9123,east,57455
894,14342,east,71227
895,5002,d3d,168984
896,6882,d3d,174905
897,13209,east,69222
898,12408,east,67317
899,662,d3d,157805
900,7605,d3d,176503
901,9342,east,60107
902,4176,d3d,166141
903,14324,east,71203
904,15370,east,73502
905,1945,d3d,160502
906,11734,east,66075
907,14955,east,72837
908,6574,d3d,174198
909,8424,east,56123
910,6771,d3d,174701
911,13358,east,69575
912,6178,d3d,172542
913,14545,east,71560
914,7787,d3d,176980
915,13489,east,69778
916,17384,east,78497
917,4971,d3d,168868
918,2138,d3d,160911
919,5520,d3d,170407
920,17495,east,78687
921,3914,d3d,165465
922,10614,east,63655
923,3820,d3d,165260
924,15142,east,73109
925,15613,east,73876
926,3387,d3d,164218
927,10372,east,63298
928,5027,d3d,169100
929,15775,east,74120
930,8028,east,55476
931,8369,east,56025
932,5905,d3d,171579
933,10524,east,63542
934,18458,east,80522
935,17884,east,79523
936,879,d3d,158295
937,7282,d3d,175820
938,18819,east,81136
939,5189,d3d,169593
940,5162,d3d,169528
941,10691,east,63789
942,15566,east,73811
943,5599,d3d,170610
944,14948,east,72828
945,1963,d3d,160534
946,2393,d3d,161352
947,682,d3d,157899
948,4066,d3d,165933
949,9626,east,61820
950,8662,east,56598
951,16773,east,76523
952,14438,east,71422
953,8280,east,55893
954,4305,d3d,166462
955,12015,east,66609
956,18334,east,80319
957,9262,east,59765
958,10966,east,64265
959,12497,east,67459
960,4792,d3d,167491
961,12647,east,67662
962,3392,d3d,164241
963,13415,east,69664
964,4429,d3d,166718
965,9300,east,59976
966,10615,east,63656
967,14134,east,70939
968,13157,east,69149
969,17619,east,78875
970,12723,east,67777
971,2927,d3d,162989
972,17459,east,78626
973,18603,east,80749
974,13382,east,69622
975,17923,east,79588
976,12921,east,68703
977,4024,d3d,165857
978,1379,d3d,159295
979,2347,d3d,161255
980,5431,d3d,170269
981,4181,d3d,166146
982,12061,east,66671
983,8666,east,56602
984,6609,d3d,174256
985,7940,east,55315
986,7738,d3d,176894
987,10654,east,63735
988,14810,east,72604
989,1860,d3d,160341
990,6588,d3d,174216
991,2377,d3d,161309
992,415,d3d,157192
993,565,d3d,157545
994,5690,d3d,170838
995,3521,d3d,164569
996,6773,d3d,174703
997,2006,d3d,160643
998,3857,d3d,165341
999,8983,east,57151
1000,5401,d3d,170206
1001,18420,east,80464
1002,3317,d3d,164077
1003,17255,east,77644
1004,18520,east,80598
1005,4300,d3d,166455
1006,18037,east,79794
1007,5335,d3d,170060
1008,14817,east,72611
1009,18030,east,79785
1010,17631,east,78913
1011,16126,east,74754
1012,17421,east,78568
1013,13929,east,70554
1014,3200,d3d,163510
1015,12321,east,67174
1016,16678,east,75544
1017,12642,east,67657
1018,14296,east,71172
1019,15343,east,73446
1020,12644,east,67659
1021,17991,east,79716
1022,12357,east,67229
1023,5614,d3d,170714
1024,11180,east,64559
1025,16331,east,75035
1026,11926,east,66493
1027,4671,d3d,167340
1028,13374,east,69612
1029,9529,east,61492
1030,10257,east,62880
1031,17237,east,77625
1032,7993,east,55430
1033,1560,d3d,159640
1034,5258,d3d,169897
1035,10848,east,64057
1036,5154,d3d,169506
1037,5176,d3d,169553
1038,15465,east,73658
1039,9930,east,62462
1040,13709,east,70177
1041,16201,east,74879
1042,6524,d3d,174109
1043,3163,d3d,163467
1044,10009,east,62559
1045,11755,east,66107
1046,18316,east,80290
1047,7122,d3d,175490
1048,4610,d3d,167259
1049,743,d3d,157996
1050,3283,d3d,163829
1051,18697,east,80932
1052,16745,east,75637
1053,3933,d3d,165490
1054,15827,east,74199
1055,12353,east,67225
1056,19131,east,81586
1057,14934,east,72808
1058,16599,east,75426
1059,11620,east,65749
1060,7772,d3d,176963
1061,12271,east,67108
1062,11033,east,64356
1063,1146,d3d,158789
1064,14805,east,72437
1065,11579,east,65157
1066,12802,east,67899
1067,16520,east,75290
1068,6763,d3d,174692
1069,1393,d3d,159309
1070,3226,d3d,163655
1071,7346,d3d,175926
1072,10820,east,63993
1073,2875,d3d,162921
1074,126,d3d,156656
1075,2621,d3d,162181
1076,3019,d3d,163145
1077,15917,east,74461
1078,6792,d3d,174742
1079,10825,east,64002
1080,10704,east,63802
1081,3485,d3d,164452
1082,12312,east,67165
1083,6740,d3d,174642
1084,2131,d3d,160903
1085,424,d3d,157232
1086,3274,d3d,163802
1087,12104,east,66735
1088,10489,east,63494
1089,16288,east,74979
1090,11001,east,64318
1091,13842,east,70431
1092,10520,east,63534
1093,5706,d3d,170864
1094,3355,d3d,164145
1095,17273,east,77665
1096,1785,d3d,160220
1097,2385,d3d,161329
1098,338,d3d,157066
1099,6442,d3d,173892
1100,10971,east,64270
1101,8591,east,56462
1102,10908,east,64153
1103,4118,d3d,166052
1104,5574,d3d,170572
1105,16380,east,75105
1106,10385,east,63318
1107,6729,d3d,174624
1108,2512,d3d,161524
1109,5533,d3d,170430
1110,6099,d3d,172402
1111,17706,east,79104
1112,17156,east,77470
1113,12480,east,67433
1114,1009,d3d,158526
1115,2065,d3d,160785
1116,7438,d3d,176054
1117,15436,east,73625
1118,14610,east,71666
1119,1754,d3d,160171
1120,2745,d3d,162535
1121,5476,d3d,170330
1122,5676,d3d,170815
1123,10099,east,62676
1124,2568,d3d,161607
1125,16110,east,74726
1126,12044,east,66647
1127,9527,east,61489
1128,15323,east,73408
1129,18713,east,80960
1130,6783,d3d,174714
1131,17414,east,78558
1132,10023,east,62575
1133,12346,east,67217
1134,14885,east,72737
1135,9706,east,62162
1136,13006,east,68863
1137,17370,east,78479
1138,1090,d3d,158690
1139,8642,east,56576
1140,1126,d3d,158764
1141,6366,d3d,173701
1142,13788,east,70365
1143,10362,east,63275
1144,4313,d3d,166470
1145,8355,east,56006
1146,14352,east,71238
1147,10644,east,63722
1148,5760,d3d,171146
1149,16489,east,75258
1150,5674,d3d,170811
1151,12650,east,67668
1152,17921,east,79586
1153,11746,east,66096
1154,18830,east,81149
1155,13643,east,70083
1156,18052,east,79814
1157,13779,east,70356
1158,14501,east,71499
1159,12142,east,66905
1160,7557,d3d,176370
1161,11861,east,66407
1162,13144,east,69117
1163,2032,d3d,160686
1164,15666,east,73955
1165,8462,east,56211
1166,2583,d3d,161628
1167,17526,east,78739
1168,783,d3d,158058
1169,2317,d3d,161215
1170,10017,east,62569
1171,18172,east,80042
1172,6951,d3d,175039
1173,15492,east,73692
1174,9720,east,62181
1175,12818,east,67915
1176,17314,east,77724
1177,13729,east,70205
1178,8055,east,55508
1179,11388,east,64879
1180,4865,d3d,167601
1181,17883,east,79522
1182,11490,east,65008
1183,13602,east,70023
1184,6285,d3d,173314
1185,18130,east,79949
1186,7521,d3d,176291
1187,12052,east,66656
1188,16455,east,75209
1189,12247,east,67082
1190,16348,east,75053
1191,3042,d3d,163171
1192,18448,east,80505
1193,9252,east,59748
1194,7173,d3d,175560
1195,7517,d3d,176287
1196,7174,d3d,175561
1197,5035,d3d,169112
1198,530,d3d,157487
1199,8811,east,56827
1200,4957,d3d,168801
1201,18870,east,81221
1202,1286,d3d,159021
1203,13577,east,69978
1204,11964,east,66542
1205,2483,d3d,161493
1206,8087,east,55568
1207,17794,east,79298
1208,11760,east,66131
1209,11217,east,64602
1210,11940,east,66516
1211,6992,d3d,175177
1212,8317,east,55937
1213,18000,east,79732
1214,2830,d3d,162800
1215,9244,east,59645
1216,5790,d3d,171224
1217,371,d3d,157116
1218,14822,east,72621
1219,8830,east,56862
1220,7600,d3d,176498
1221,15587,east,73833
1222,2769,d3d,162717
1223,8958,east,57085
1224,14280,east,71140
1225,12591,east,67595
1226,12806,east,67903
1227,12004,east,66598
1228,2378,d3d,161310
1229,12511,east,67475
1230,13479,east,69740
1231,9434,east,61207
1232,12419,east,67331
1233,5524,d3d,170414
1234,3680,d3d,164931
1235,16027,east,74614
1236,2241,d3d,161094
1237,8107,east,55596
1238,10076,east,62640
1239,1766,d3d,160200
1240,6189,d3d,173003
1241,2392,d3d,161351
1242,987,d3d,158488
1243,8063,east,55536
1244,5866,d3d,171473
1245,18444,east,80501
1246,2897,d3d,162948
1247,13691,east,70159
1248,3640,d3d,164839
1249,18485,east,80559
1250,18384,east,80397
1251,15417,east,73582
1252,15176,east,73164
1253,16827,east,76762
1254,18810,east,81106
1255,4853,d3d,167577
1256,15935,east,74489
1257,4511,d3d,166892
1258,5879,d3d,171504
1259,18429,east,80481
1260,19079,east,81483
1261,2134,d3d,160906
1262,1131,d3d,158770
1263,17133,east,77436
1264,6443,d3d,173893
1265,2821,d3d,162788
1266,6352,d3d,173595
1267,10490,east,63495
1268,16808,east,76694
1269,16141,east,74774
1270,1612,d3d,159741
1271,3193,d3d,163503
1272,16884,east,76910
1273,4851,d3d,167575
1274,2499,d3d,161510
